2023,"Active learning for extracting surgomic features in robot-assisted minimally invasive esophagectomy: a prospective annotation study","Brandenburg J.M., Jenke A.C., Stern A., Daum M.T.J., Schulze A., Younis R., Petrynowski P., Davitashvili T., Vanat V., Bhasker N., Schneider S., Mundermann L., Reinke A., Kolbinger F.R., Jorns V., Fritz-Kebede F., Dugas M., Maier-Hein L., Klotz R., Distler M., Weitz J., Muller-Stich B.P., Speidel S., Bodenstedt S., Wagner M.",09302794,"Surgical Endoscopy",37, 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"MultiPsi: A python-driven MCSCF program for photochemistry and spectroscopy simulations on modern HPC environments","Delcey M.G.",17590876,"Wiley Interdisciplinary Reviews: Computational Molecular Science",13, 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2023,"Developing Advanced AI Ecosystems to Enhance Diagnosis and Care for Patients with Depression","Klein F., Muller-Von Aschwege F., Elfert P., Raker J., Philipsen A., Braun N., Selaskowski B., Wiebe A., Guth M., Spallek J., Seuss S., Storey B., Geppert L.N., Luck I., Hein A.",18798365,"Studies in health technology and informatics",309, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Statistical considerations on real time and extended controlled temperature conditions (ECTC) stability data analysis of vaccines","Kim D.R., You Y.A., Ahn H.S., Park E.L., Lim J.K., Song K.R., Chon Y., Lynch J.",0264410X,"Vaccine",41, 42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Modular Neural Networks for Osteoporosis Detection in Mandibular Cone-Beam Computed Tomography Scans","Namatevs I., Nikulins A., Edelmers E., Neimane L., Slaidina A., Radzins O., Sudars K.",23791381,"Tomography",9, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Examining the open-source datasets for water quantity and quality using the soil and water assessment tool (SWAT)","Peker I.B., Gulbaz S.",02731223,"Water Science and Technology",88, 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Breaking Triopoly to Achieve Sustainable Smart Digital Infrastructure Based on Open-Source Diffusion Using Government–Platform–User Evolutionary Game","Li T., Zhu J., Luo J., Yi C., Zhu B.",20711050,"Sustainability (Switzerland)",15, 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Analyzing the Impact of COVID-19 on GitHub Event Trends","Pejic N., Radivojevic Z., Cvetavnovic M.",20711050,"Sustainability (Switzerland)",15, 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Big Data Analysis for Travel Time Characterization in Public Transportation Systems †","Nesmachnow S., Massobrio R., Guridi S., Olmedo S., Tchernykh A.",20711050,"Sustainability (Switzerland)",15, 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Integrating Open-Source Datasets to Analyze the Transboundary Water–Food–Energy–Climate Nexus in Central Asia","De Keyser J., Hayes D.S., Marti B., Siegfried T., Seliger C., Schwedhelm H., Anarbekov O., Gafurov Z., Lopez Fernandez R.M., Ramos Diez I., Alapfy B., Carey J., Karimov B., Karimov E., Wagner B., Habersack H.",20734441,"Water (Switzerland)",15, 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Water Balance Calculation for a Transboundary Aquifer System between Estonia and Latvia","Hunt M., Marandi A., Retike I.",20734441,"Water (Switzerland)",15, 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Generating Synthetic Radiological Images with PySynthMRI: An Open-Source Cross-Platform Tool","Peretti L., Donatelli G., Cencini M., Cecchi P., Buonincontri G., Cosottini M., Tosetti M., Costagli M.",23791381,"Tomography",9, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"Automatic Software Bug Prediction Using Adaptive Artificial Jelly Optimization With Long Short-Term Memory","Siva R., S K., Hariharan B., Premkumar N.",09296212,"Wireless Personal Communications",132, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Multi-agent based energy community cost optimization considering high electric vehicles penetration","Faia R., Ribeiro B., Goncalves C., Gomes L., Vale Z.",22131388,"Sustainable Energy Technologies and Assessments",59, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"A Second-Order Finite Volume Method for Field-Scale Reservoir Simulation","Kvashchuk A., Klofkorn R., Sandve T.H.",01693913,"Transport in Porous Media",150, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"[Impact of vaccination on the entire population and dose-response relation of COVID-19, Impacto de la vacunación en toda la población y relación dosis-respuesta del COVID-19]","Malek A., Hoque A.",15769887,"Vacunas",24, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Understanding Human-Computer Interactions in Restricted Clinical Environments","Kraus K., Trube L., Gundler C.",09269630,"Studies in Health Technology and Informatics",307, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"odML-Tables as a Metadata Standard in Microneurography","Troglio A., Nickerson A., Schlebusch F., Rohrig R., Dunham J., Namer B., Kutafina E.",18798365,"Studies in health technology and informatics",307, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"A Tool for Specifying Data Quality Checks for Clinical Data Management Systems - A Technical Case Report","Ulbrich F., Meineke F.A., Rissner F., Winter A., Lobe M.",09269630,"Studies in Health Technology and Informatics",307, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Onkopipe: A Snakemake Based DNASequencing Pipeline for Clinical Variant Analysis in Precision Medicine","Yang J., Beissbarth T., Donitz J.",09269630,"Studies in Health Technology and Informatics",307, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Proposal of a new approach to perform advanced flow modeling for subsurface flow treatment wetlands","Santos K.A., Coelho L.M.G., Santos H.A.",02731223,"Water Science and Technology",88, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Synergy of Patent and Open-Source-Driven Sustainable Climate Governance under Green AI: A Case Study of TinyML","Li T., Luo J., Liang K., Yi C., Ma L.",20711050,"Sustainability (Switzerland)",15, 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Building of safer urban hubs: Insights from a comparative study on cyber telecom scams and early warning design","Zhu C., Zhang C., Wang R., Tian J., Hu R., Zhao J., Ke Y., Liu N.",26643286,"Urban Governance",3, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Validation of the Iowa Head-Mounted Open-Source Perimeter","Heinzman Z., Linton E., Marin-Franch I., Turpin A., Alawa K., Wijayagunaratne A., Wall M.",21642591,"Translational Vision Science and Technology",12, 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"A New Land Cover Map of Two Watersheds under Long-Term Environmental Monitoring in the Swedish Arctic Using Sentinel-2 Data","Auda Y., Lundin E.J., Gustafsson J., Pokrovsky O.S., Cazaurang S., Orgogozo L.",20734441,"Water (Switzerland)",15, 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Application of Pattern Recognition and Computer Vision Tools to Improve the Morphological Analysis of Microplastic Items in Biological Samples","Astel A.M., Piskula P.",23056304,"Toxics",11, 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Cloud-Based Reinforcement Learning in Automotive Control Function Development","Koch L., Roeser D., Badalian K., Lieb A., Andert J.",26248921,"Vehicles",5, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Radiotherapy resources in Latin America and the Caribbean: a review of current and projected needs based on International Atomic Energy Agency data","Elbanna M., Pynda Y., Kalinchuk O., Rosa A., Abdel-Wahab M.",14702045,"The Lancet Oncology",24, 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"Three-Dimensional Numerical Modelling of Real-Field Dam-Break Flows: Review and Recent Advances","Maranzoni A., Tomirotti M.",20734441,"Water (Switzerland)",15, 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"An optimized, easy-to-use, open-source GPU solver for large-scale inverse homogenization problems","Zhang D., Zhai X., Liu L., Fu X.-M.",1615147X,"Structural and Multidisciplinary Optimization",66, 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"Towards Evaluating the Robustness of the Open-Source Product Community under Multiple Attack Strategies","Zhou H., Yang M.",20711050,"Sustainability (Switzerland)",15, 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Pathways to Enhancing Analysis of Irrigation by Remote Sensing (AIRS) in Urban Settings","Capener A.M., Sowby R.B., Williams G.P.",20711050,"Sustainability (Switzerland)",15, 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"FishSeg: 3D Fish Tracking Using Mask R-CNN in Large Ethohydraulic Flumes","Yang F., Moldenhauer-Roth A., Boes R.M., Zeng Y., Albayrak I.",20734441,"Water (Switzerland)",15, 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Evidence for a case-based module in the low-resource setting to teach ectopic pregnancy management","Hsu I.J., Lenders J., Johnson-Griggs M.A., Gist H., Vaishampayan N., Ryder Y., Obayemi J., Hsu P.J., Jeffcoach D., Barnard M., Freneh M., Snell M., Rooney D.M., Kim G.J.",26662620,"Surgery in Practice and Science",14, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"A novel mathematical model to incorporate carbon trading and other emission reduction techniques within energy planning models","Hameed G., Nair P.N.S.B., Tan R.R., Foo D.C.Y., Short M.",23525509,"Sustainable Production and Consumption",40, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"An empirical study of pre-trained language models in simple knowledge graph question answering","Hu N., Wu Y., Qi G., Min D., Chen J., Pan J.Z., Ali Z.",1386145X,"World Wide Web",26, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Component-based specification, design and verification of adaptive systems","Graics B., Molnar V., Majzik I.",10981241,"Systems Engineering",26, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Open source variational quantum eigensolver extension of the quantum learning machine for quantum chemistry","Haidar M., Rancic M.J., Ayral T., Maday Y., Piquemal J.-P.",17590876,"Wiley Interdisciplinary Reviews: Computational Molecular Science",13, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"AQME: Automated quantum mechanical environments for researchers and educators","Alegre-Requena J.V., Sowndarya S. V. S., Perez-Soto R., Alturaifi T.M., Paton R.S.",17590876,"Wiley Interdisciplinary Reviews: Computational Molecular Science",13, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2023,"Survey of window types for aggregation in stream processing systems","Verwiebe J., Grulich P.M., Traub J., Markl V.",10668888,"VLDB Journal",32, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"Costing of strategies for long-term trunk main discolouration management","Sunny I., Husband S., Boxall J.",00431354,"Water Research",242, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Computer Tomography Image Based Interconnected Antecedence Clustering Model Using Deep Convolution Neural Network for Prediction of COVID-19","Narayana V.L., Sujatha V., Sri K.S., Pavani V., Prasanna T.V.N., Ranganarayana K.",07650019,"Traitement du Signal",40, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Extracting Insights From Competitor's Mistakes: A Sentiment Analysis Approach Using Competitive set Online Reviews","Chalupa S., Petricek M., Chadt K.",22178309,"TEM Journal",12, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Enhancing Risk Analysis toward a Landscape Digital Twin Framework: A Multi-Hazard Approach in the Context of a Socio-Economic Perspective","Ugliotti F.M., Osello A., Daud M., Yilmaz O.O.",20711050,"Sustainability (Switzerland)",15, 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2023,"Sustainable Health Education Simulator Using Open-Source Technology","Oyarzun-Diaz P., Orellana-Cortes A., Segura H., Vidal-Silva C., Sanchez-Ortiz A., Serrano-Malebran J.",20711050,"Sustainability (Switzerland)",15, 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"A Comprehensive Review of Recent Research Trends on Unmanned Aerial Vehicles (UAVs)","Telli K., Kraa O., Himeur Y., Ouamane A., Boumehraz M., Atalla S., Mansoor W.",20798954,"Systems",11, 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2023,"Using the ARCADIA/Capella Systems Engineering Method and Tool to Design Manufacturing Systems—Case Study and Industrial Feedback","Baron C., Grenier L., Ostapenko V., Xue R.",20798954,"Systems",11, 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"A Bibliometric Analysis of Sustainable Product Design Methods from 1999 to 2022: Trends, Progress, and Disparities between China and the Rest of the World","Gao M., Ma K., He R., Vezzoli C., Li N.",20711050,"Sustainability (Switzerland)",15, 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Comparison of Novel Volumetric Microperimetry Metrics in Intermediate Age-Related Macular Degeneration: PINNACLE Study Report 3","Anders P., Traber G.L., Pfau M., Riedl S., Hagag A.M., Camenzind H., Mai J., Kaye R., Bogunovic H., Fritsche L.G., Rueckert D., Schmidt-Erfurth U., Sivaprasad S., Lotery A.J., Scholl H.P.N.",21642591,"Translational Vision Science and Technology",12, 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Urban Green Development and Resilient Cities: A First Insight into Urban Forest Planning in Italy","Battisti L., Aimar F., Giacco G., Devecchi M.",20711050,"Sustainability (Switzerland)",15, 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2023,"A Machine Learning Tutorial for Operational Meteorology. Part II: Neural Networks and Deep Learning","Chase R.J., Harrison D.R., Lackmann G.M., McGovern A.",08828156,"Weather and Forecasting",38, 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2023,"Generalization of the local diabatization approach for propagating electronic degrees of freedom in nonadiabatic dynamics","Shakiba M., Akimov A.V.",1432881X,"Theoretical Chemistry Accounts",142, 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"A robust, open-source implementation of the locally optimal block preconditioned conjugate gradient for large eigenvalue problems in quantum chemistry","Nottoli T., Gianni I., Levitt A., Lipparini F.",1432881X,"Theoretical Chemistry Accounts",142, 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Effects of reverse geocoding on OpenStreetMap tag quality assessment","Kilic B., Hacar M., Gulgen F.",13611682,"Transactions in GIS",27, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Topology-preserved human reconstruction with details","Lin L., Zhu J.",01782789,"Visual Computer",39, 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"The next layer: Towards open pedagogy in geospatial education","Abernathy D.R.",13611682,"Transactions in GIS",27, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"GEnZ explorer: a tool for visualizing agroclimate to inform research and regulatory risk assessment","Melnick R.L., Jarvis L., Hendley P., Garcia-Alonso M., Metzger M.J., Ramankutty N., Teem J.L., Roberts A.",09628819,"Transgenic Research",32, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Anti-circulant dynamic mode decomposition with sparsity-promoting for highway traffic dynamics analysis","Wang X., Sun L.",0968090X,"Transportation Research Part C: Emerging Technologies",153, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Ensuring privacy protection in the era of big laparoscopic video data: development and validation of an inside outside discrimination algorithm (IODA)","Schulze A., Tran D., Daum M.T.J., Kisilenko A., Maier-Hein L., Speidel S., Distler M., Weitz J., Muller-Stich B.P., Bodenstedt S., Wagner M.",09302794,"Surgical Endoscopy",37, 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"TEMGYM Advanced: Software for electron lens aberrations and parallelised electron ray tracing","Landers D., Clancy I., Dunin-Borkowski R.E., Weber D., Stewart A.",03043991,"Ultramicroscopy",250, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Fast Computation of Terrain-Induced Gravitational and Magnetic Effects on Arbitrary Undulating Surfaces","Wu L., Chen L.",01693298,"Surveys in Geophysics",44, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"DeepFilter: A Deep Learning Based Variant Filter for VarDict","Zhang H., Yin Z., Wei Y., Schmidt B., Liu W.",10070214,"Tsinghua Science and Technology",28, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Evaluation of authoring tools under ATAG and WCAG recommendations","Baldiris S., Vargas D., Garzon J., Avila-Garzon C., Burgos D.",16155289,"Universal Access in the Information Society",22, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Numerical Investigation of the Effects of Stress Heterogeneity on the Propagation Behaviors of Hydraulic Fractures in a Shale Oil Reservoir","Zhang S., Chen Z., Wang X., Zhao X., Lin J., Zhu B., Wen Q., Jing Q.",20711050,"Sustainability (Switzerland)",15, 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"A Scenario-Based and Game-Based Geographical Information System (GIS) Approach for Earthquake Disaster Simulation and Crisis Mitigation","Feizizadeh B., Adabikhosh S.J., Panahi S.",20711050,"Sustainability (Switzerland)",15, 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Vulnerability in a Tropical Cyclone Risk Model: Philippines Case Study","Baldwin J.W., Lee C.Y., Walsh B.J., Camargo S.J., Sobel A.H.",19488327,"Weather, Climate, and Society",15, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2023,"A Vehicle Detection Method Based on an Improved U-YOLO Network for High-Resolution Remote-Sensing Images","Guo D., Wang Y., Zhu S., Li X.",20711050,"Sustainability (Switzerland)",15, 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"The Industrialisation of Sustainable Construction: A Transdisciplinary Approach to the Large-Scale Introduction of Compacted Mineral Mixtures (CMMs) into Building Construction","Buhler M.M., Hollenbach P., Michalski A., Meyer S., Birle E., Off R., Lang C., Schmidt W., Cudmani R., Fritz O., Baltes G., Kortmann G.",20711050,"Sustainability (Switzerland)",15, 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Transcending Time and Space: Survey Methods, Uncertainty, and Development in Human Migration Prediction","Pu T., Huang C., Yang J., Huang M.",20711050,"Sustainability (Switzerland)",15, 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"Comparative Analysis of Global Terrestrial Water Storage Simulations: Assessing CABLE, Noah-MP, PCR-GLOBWB, and GLDAS Performances during the GRACE and GRACE-FO Era","Tangdamrongsub N.",20734441,"Water (Switzerland)",15, 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Development of a rat physiologically based kinetic model (PBK) for three organophosphate flame retardants (TDCIPP, TCIPP, TCEP)","Deepika D., Sharma R.P., Schuhmacher M., Kumar V.",03784274,"Toxicology Letters",383, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Direct multiple shooting for computationally efficient train trajectory optimization","Kouzoupis D., Pendharkar I., Frey J., Diehl M., Corman F.",0968090X,"Transportation Research Part C: Emerging Technologies",152, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2023,"Novel computational methods on electronic health record yields new estimates of transfusion-associated circulatory overload in populations enriched with high-risk patients","Wang M., Goldgof G.M., Patel A., Whitaker B., Belov A., Chan B., Phelps E., Rubin B., Anderson S., Butte A.J.",00411132,"Transfusion",63, 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"[Almost lossless compression of noisy images, Fast verlustfreie Kompression verrauschter Bilder]","Jahne B.",01718096,"Technisches Messen",90, 7-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Identifying optimal locations for community electric vehicle charging","Charly A., Thomas N.J., Foley A., Caulfield B.",22106707,"Sustainable Cities and Society",94, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
2023,"From fetus to neonate: A review of cardiovascular modeling in early life","May R.W., Maso Talou G.D., Clark A.R., Mynard J.P., Smolich J.J., Blanco P.J., Muller L.O., Gentles T.L., Bloomfield F.H., Safaei S.",26929368,"WIREs Mechanisms of Disease",15, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"espm: A Python library for the simulation of STEM-EDXS datasets","Teurtrie A., Perraudin N., Holvoet T., Chen H., Alexander D.T.L., Obozinski G., Hebert C.",03043991,"Ultramicroscopy",249, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"Photogrammetry for Digitization and Digital Display as a Sustainable Way to Develop Vietnam’s Museum Sector? A Co-Designed Action Research Project between RMIT University and the Vietnamese Women’s Museum","Duester E., Teague M., Ondris P.U.I.",25741748,"Studies in Digital Heritage",7, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Web and Mobile Enabled Application for Public Health Inspections","Petropoulos P., Zoulias E., Liaskos J., Mantas J.",09269630,"Studies in Health Technology and Informatics",305, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Nurse Scheduling with State-of-the Art Open-Source Tools","Aeschbacher D.J., Meissner J., Sariyar M.",09269630,"Studies in Health Technology and Informatics",305, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Wearable Device Health Data Mapping to Open mHealth and FHIR Data Formats","Falkenhein I., Bernhardt B., Gradwohl S., Brandl M., Hussein R., Hanke S.",09269630,"Studies in Health Technology and Informatics",305, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Representing NIH Genetic Test Registry Data in the FHIR Genomic Study Resource","Khalifa A., Freimuth R.R.",09269630,"Studies in Health Technology and Informatics",305, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Visual Writing Prompts: Character-Grounded Story Generation with Curated Image Sequences","Hong X., Sayeed A., Mehra K., Demberg V., Schiele B.",2307387X,"Transactions of the Association for Computational Linguistics",11, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"How Close are Predictive Models to Teachers in Detecting Learners at Risk?","Galici R., Kaser T., Fenu G., Marras M.",,"UMAP 2023 - Proceedings of the 31st ACM Conference on User Modeling, Adaptation and Personalization",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Cyber profiling: Predicting political orientation with SOCMINT","Yu S.",27725030,"Telematics and Informatics Reports",10, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Advanced COVID-19 CT Image Segmentation Using a Hybrid Undecimated Wavelet Transform, Fuzzy Clustering, and Anisotropic Diffusion Approach","Larbi M., Naimi H., Bourennane M.",07650019,"Traitement du Signal",40, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"A Methodology for Classifying Attractive Sources Related to Airport Birdstrike by Using Geospatial Tools","Trifilo D., D'Urso P.R., Arcidiacono C.",20711050,"Sustainability (Switzerland)",15, 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Land–Sea Interactions: A Spatial Planning Perspective","Innocenti A., Musco F.",20711050,"Sustainability (Switzerland)",15, 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"End-user perspective of low-cost sensors for urban stormwater monitoring: a review","Zhu Q., Cherqui F., Bertrand-Krajewski J.-L.",02731223,"Water Science and Technology",87, 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
