," This is a citation overview for a set of 2000 documents.",,,,,,,,,,,,,,,,,,,,,,,,,
2021,"The sustainable promotion strategy of transfer hub in megapolis","Ababkova M., Vasileva O.",25550403,"",258, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Optimization of individual elements of clonal micro-propagation of fruit and berry crops in the production system of healthy planting material","Tashmatova L.V., Matsneva O.V., Khromova T.M., Shakhov V.V.",25550403,"",254, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,3
2021,"The possibility of using new varieties of essential oil plants in medicinal plant production","Shevchuk O., Konovalov D., Bakova N., Suslova A., Orobinskaya V.",25550403,"",254, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Application of a new seismic reflection imaging system TSP-SK in tunnel advanced geological prediction","Xu M.-X., Wei Y.-X., Li J.-J.",25550403,"",252, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"A systematic approach to modeling sustainable production and economic activities of transport organizations","Drozdov N., Kuzina E., Vasilenko M., Tagiltseva J., Galkin V., Prokopchuk V., Korenyakina N., Laponogova A.",25550403,"",244, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,4
2021,"Analysis on Regional Differences of China's Medical and Health Development Level","Zhang Y., Ding S.",25550403,"",236, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"The Influence of Urban Sprawl on Household Power Intensity - - Evidence from China's Urban Panel Data","Du C., Shen J., Liu X., Qin M.",25550403,"",236, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3
2021,"An Empirical Study on the Coordinated Development of Economy and Ecological Environment of Eastern City Group in Qinghai Province","Liu Y., Ding S.",25550403,"",236, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"The Causes and Solutions towards the Increasing Locusts Plague in Pakistan","Tong B.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
2021,"Research on water pollution prediction of township enterprises based on support vector regression machine","Wang Y., Xue S., Ding J.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3
2021,"Growth Evaluation of Listed Companies of the Agricultural Processing Industry in China","Xu Z., Wu B.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Layout design and research of new energy vehicle charging pile in Anhui Province","Wang X., Wang H., Ren X., Chen W., Chu Y., Guo X., Jiang J., Qiu X., Shi J., Sun C.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Research on the Supervision of vehicle 4G Video Surveillance platform in Freight Company","Niu J., Zheng L., Li X., Song H.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Sensory Evaluation of Low-Carbon City Tourism by Gray Relational Analysis","Cheng Y.-T., Liang R.-Q., Ho M.-C., Wu C.-H.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
2021,"The Feedback Effect of Rare Earth Development Policy on Economy and Society","Ma J., Li M.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2021,"Research on Planning and Optimization of Integrated Energy system for ubiquitous access","Chen B., Han X., Zhang W., Tian H., Wei D., Che B.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Research on Hydroecology Management from the Perspective of Philosophy","Zhang S., Jia Z., Guan Z., Zheng F.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Based on the study of optimal pollutant control in yingkou section of daliaohe river","Guo Q., Yang H., He H.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2021,"Assessment and analysis of groundwater overexploitation in China","Li Z., He X., Lu C.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2021,"Sea surface temperature (SST) anomalies of the Yellow and East China Seas in July of 2020","Wang B., Wu L.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
2021,"Review of benchmark on-grid power tariffs in China","Han L., Hu Y., Zhang T., Zhang J., Tu Z., Chen Y.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2021,"Construction of College Teachers' emotional labor strategy model based on emotional intelligence theory","Hang L., Chen M.-T.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2021,"Taxes versus standards in a mixed economy","Zeng B., Dai G., Liu J.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Study on the waterlogging operation effects of InfoWorks ICM dispatching strategies","Yang H., Tong X., Gou D.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2021,"Influence of cement slurry heat release on physical properties of marine hydrate reservoirs during well cementing","Zheng M., Wang X., Wang Z., Zhou K., Wang K., Dong G., Liu T.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2
2021,"Air pollutants emission inventory from offshore fishery research vessel","Rao X., Huang H., Li L., Chen S., Yang J.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2021,"Analysis on the influence of runoff trend in the Liusha River Basin of Xishuangbanna","Ling Z., Xu S., Dong M., Feng G., Huo H., Chen F., Peng Y.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2021,"Energy and Environmental Assessment of Straw Production for Power Generation","Bazaluk O., Havrysh V., Nitsenko V.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,1,9
2021,"Construction of S-doped hierarchical porous carbons by acid-free treatment strategy for supercapacitors","Yang L., Jin B., Li H.Q., Wu T.T., He X.J.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
2021,"A Review and Comparative Analysis on Energy Transition in China's Three Emerging Urban Agglomerations","Hou J., Jian J., Liu P.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
2021,"Measurement, Temporal-spatial Evolution Characteristics and Countermeasures of High-quality Agricultural Development in China","Zhao Y., Zhu J., Zhang Y.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2021,"Research status and hot spot visualization analysis of ""gas safety"" based on CiteSpace","Li R., Huang H., Zhang J., Zhang M.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,6
2021,"Evaluating long-term potential evapotranspiration and soil moisture dynamics at Shanghai City China","Wang M.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Research on Metal Supervision and Inspection Standards for Gas-steam Combined Cycle Units","Shi Y., Xiang W., Chen S.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Analysis on innovation strategy of agricultural sustainable business model - Taking Agricultural Maker Space ""maker spark"" in Sichuan Province as an Example","Li Y., Zheng K., Wang Y.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2021,"Life Cycle Assessment of Heaven Mushroom Product","Sukkanta P., Mongkolkoldhumrongkul K.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"The effect of climate change on building heating and cooling energy demand in China","Bai L., Song B.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Influencing factors and mechanisms involved in the ignition of low-rank coal: Implications for spontaneous combustion","Zhang Y., Ma S., Xiao J., Tian Y., Xie K.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2021,"On the Evolution of Paleoclimate and Paleoenvironment in Eastern Beijing Plain in the Last 70,000 Years Based on the Sediment Chronological Framework","Li T.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Community Based Rural Tourism (CBRT): The Impact on Local Residents Quality of Life in Indonesia","Yunikawati N.A., Istiqomah N., Priambodo M.P., Puspasari E.Y., Sidi F., Jabbar Marzanah A.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2021,"Assessment and Prediction for China's Regional Agricultural Sustainability","Zhao Y., Xie Q., Zhang Y.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Decoupling analysis of the carbon emissions' change and the economic growth in Jiangxi's agricultural sector","Chen J., Jia J., Liu C., Mao D.",25550403,"",228, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2021,"Computational Electronic Circuits: Simulation and Analysis with MATLAB®","Hamedi-Hagh S.",,"",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Therapeutic Cultural Routines to Build Family Relationships: Talk, Touch &amp; Listen While Combing Hair©","Lewis M.L., Weatherston D.J.",,"",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Deployment of Contact-Based Ultrasonic Thickness Measurements Using Over-Actuated UAVs","Watson R.J., Pierce S.G., Kamel M., Zhang D., MacLeod C.N., Dobie G., Bolton G., Dawood T., Nieto J.",23662557,"",127, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,3
2021,"S2HM Must Be Real-Time or Not?","Celebi M., Limongelli M.P.",23662557,"",127, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2
2021,"In-situ Strain Monitoring Performance of Flexible Nylon/Ag Conductive Fiber in Composites Subjected to Cyclic Tensile Loading","Qureshi Y., Tarfaoui M., Lafdi K.K., Lafdi K.",23662557,"",127, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"A Strain-Based Health Indicator for the SHM of Skin-to-Stringer Disbond Growth of Composite Stiffened Panels in Fatigue","Milanoski D., Galanopoulos G., Broer A., Zarouchas D., Loutas T.",23662557,"",127, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,2,7
2021,"Damage Imaging Post Processing for Delamination Size Assessment of CFRP Aeronautic Structures","Briand W., Rebillat M., Guskov M., Mechbal N.",23662557,"",127, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Vibration-Based SHM Strategy for a Real Time Alert System with Damage Location and Quantification","Fernandez-Navamuel A., Zamora-Sanchez D., Varona-Poncela T., Jimenez-Fernandez C., Diez-Hernandez J., Garcia-Sanchez D., Pardo D.",23662557,"",127, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2021,"Non Destructive Auscultation and Imaging of Damages by Distributed Sensor Array: Step Towards Passive SHM Under Real Conditions","Chehami L., Moulin E., Terzi M.",23662557,"",127, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Damage Diagnostics of a Composite Single-Stiffener Panel Under Fatigue Loading Utilizing SHM Data Fusion","Broer A.A.R., Galanopoulos G., Zarouchas D., Loutas T., Benedictus R.",23662557,"",127, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,5
2021,"Drive-by Bridge Health Monitoring Using Multiple Passes and Machine Learning","Malekjafarian A., Moloney C., Golpayegani F.",23662557,"",127, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3
2021,"Development of the Global 21st Century Mining Technical Services Professional: The WMI-SAGE Collaborative Model","Ali S., Cawood F., Feroze T., Ashraf H.",23662557,"",109, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020,"Research on the Protection and in aritance of Opera Art in Linchuan Area Based on the Effectiveness Analysis of Witch Elements in Big Data Era","Chen Y.",25550403,"",218, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020,"Research on the promotion path of network live broadcast to the sales of agricultural products","Chen J., Wang L., Bu L.",25550403,"",218, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3
2020,"Research on Internet Information Security in the Big Data Era","Shen Y.",25550403,"",218, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Areas of correction and development work with intellectually gifted students","Baranova E., Shvetsova A., Afanasenkova E.",25550403,"",210, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Russian language as a means of cross-border education development","Marchenko G., Vodopyanova K., Timofeev S., Maximets S.",25550403,"",210, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
2020,"Thermal-hydraulic Assessment of Seven Wire-wrapped rod Bundle","Lyu K., Sheng X., Ma X.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2020,"Structural geological mapping of the Cenozoic sediments of the Brest region using GIS technologies","Maevskaya A., Sheshko N., Shpendik N., Bogdasarov M.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Biological method in monitoring small rivers of the Oka River basin","Guseva T., Mazhayskiy I.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Features of technogenic morphogenesis on the territory of south-western Belarus","Kukharik E., Hrachanik M., Bogdasarov M., Matveyev A.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"The Application of Ozone to Reduce the Coloring Intensity of Aqueous Solutions of Dyes Used in the Textile Industry","Belov S., Naumchik G.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020,"Effect of calcium sulfoaluminate additive on linear deformation at different humidity and strength of cement mortars","Abdulwahid Al-Musawi K., Bindhu Abraham K., Potses T., Sergey L., Beulah M., Obolewich J.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Experience in conducting field tests of metal structural constructions of coatings of the ""brSTU""","Shalabyta M., Shuryn A., Shalabyta T., Dragan V.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"The temperature distribution in the load-bearing designs using LSTC","Borisevich R., Dragan A.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Experience of practices of urban territorial Planning of Belarus","Panchenko T.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Intra-annual Runoff Distribution in the Pripyat River Basin","Volchak A., Parfomuk S., Sidak S.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020,"A cataluminescence sensor for the detection of trichloroethylene based on PEG200/ZnO nanocomposite","Cai X., Liu F., Pan F., Sun B., Xu F., Tang Z., Zhang J., Cheng Y., Liu J., Meng F., Zhu S.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Availability of hydro-chemical indicators of river water","Volchek A., Taratenkova M.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Ecological condition of water bodies of the south-west of Belarus in spring 2020","Kirichenko L., Volchak A., Golovach A.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Structural Mechanics Aspect of Strength of Composite Reinforcement","Barsukov V., Volik A., Sazon S.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Shear resistance of expensive concrete beams reinforced with FRP longitudinal bars","Tur V., Varabei A.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Properties of basalt fiber sulfo-aluminate modified cement binders","Paulava I.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020,"Translocation of heavy metals and methods of their detoxification in podzolized chernozem","Chernikova O., Mazhaysky Y., Buryak S., Seregina T.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Choice of structural and technological solutions for engineering preparation of bases for foundations","Klebanyuk D., Poyta P., Shvedovsky P.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Determination of Contours of Flooded Areas Due to Possible Accident of Zhinvali (Georgia) Earth Dam and Calculation of the Hydrodynamic Parameters of a Destructive Wave at a Dam","Gavardashvili G., Supatashvili T., Kukhalashvili E., Natroshvili G., Qufarashvili I., Iremashvili I., Bziava K.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Environmental Risks of the Pripyat River in a Changing Climate","Volchak A., Meshyk A., Mazhayskiy Y., Rokochynskiy A., Jeznach J.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Scheme of soil stability losses in the laboratory tray","Kremnev A., Vishnyakov N., Ermachenko V.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"High-performance electric arc source of ultraviolet radiation to ozone generate","Veremeychik A., Dmukhaylo E., Onysko S., Sazonov M., Khvisevich V.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Flexible prefabricated system moravamont 2000","Cuckic Z.P.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Energy efficiency of multi-apartment residential houses with individual heat supply","Melnikov V., Navaseltsau U., Navaseltsava D.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Environmental safety of construction processes in the Republic of Belarus","Kisel A., Sryukina L.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Physical parameters of insulation with a structure-forming material from flax noils","Romanovskiy S., Bakatovich A.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Accidental actions values and combinations for key-elements checking","Tur V., Tur A., Lizahub A., Derechennik S.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Defects of steel crane beams and methods of their strengthening","Shuryn A., Mukhin A., Bryantsev A.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2
2020,"Mathematical Expression of the Form of a Helio Concentrator","Severyanin V., Yanchilin P.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"The Influence of Temperature Impact on the Strength of Adhesion of Polyurethane Glue-foam with Masonry Products","Derkach V.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Mapping the Characteristics of Snow Cover in Belarus","Meshyk A., Marozava V., Barushka M.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Shear resistance of self-stressing concrete elements expanded under 2D restraint conditions","Tur V., Sannikava V.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Monitoring of the Petrogenically Polluted Territories","Hajiyeva S.R., Gadirova E.M.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Climate Resource Potential to Develop Solar Power in Belarus","Meshyk A., Barushka M., Marozava V., Sarkynov E., Meshyk A.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2020,"Energy saving in wastewater treatment plants","Ciobanu N.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Nanoindentation of cement stone samples","Polonina E., Lahayne O., Eberhardsteiner J., Leonovich S.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Pile quality assessment by vibroacoustic method","Leonovich S., Budrevich N., Lyu P., Miao J.",25550403,"",212, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Modelling the profitability of reverse mortgage loans with life-long annuity payments","Elena K., Ianin A.",25550403,"",203, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Environmental awareness and development of the financial market","Semenkova E., Andrianova L.",25550403,"",164, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020,"Competition and stability in the banking sector of Kazakhstan","Turusbekova M., Dauylbaev K., Kaliyeva G., Titko J., Kozlovskis K.",25550403,"",159, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Preface","",26932865,"",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"A comparative study on the prediction model of COVID-19","Zhou Q., Tao W., Jiang Y., Cui B.",26932865,"",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2
2020,"Erratum: Enhanced hybrid copper conductive ink for low power selective laser sintering (Procedia Manufacturing (2020) 48 (743-748) DOI: 10.1016/j.promfg.2020.05.108)","Hassani M., Jeong R., Sandwell A., Park S.S.",23519789,"",48, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Impact of surface roughness and porosity on lattice structures fabricated by additive manufacturing- A computational study","Jiang P., Rifat M., Basu S.",23519789,"",48, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1,6
2020,"A feasibility study of continuous grain refinement of sheet metal","Ha T., Murudkar R., Hartwig K.T., Welo T., Ringen G., Wang J.",23519789,"",48, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,0,4
2020,"Integrated tool condition monitoring systems and their applications: A comprehensive review","Nath C.",23519789,"",48, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,19,26,14,40
2020,"Digital image processing with deep learning for automated cutting tool wear detection","Bergs T., Holst C., Gupta P., Augspurger T.",23519789,"",48, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,44,29,73
2020,"Friction stir welding for assembly of copper squirrel cage rotors for electric motors","Agapiou J.S., Carlson B.E.",23519789,"",48, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,6
2020,"Active elastomeric composite dense array stamp for micro-transfer printing","Ismail N., Ferreira P.M.",23519789,"",48, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3
2020,"Real-time outlier detection and Bayesian classification using incremental computations for efficient and scalable stream analytics for IoT for manufacturing","Parto M., Saldana C., Kurfess T.",23519789,"",48, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,2,8
2020,"Fatigue performance of direct metal laser sintered parts using reused metallic feedstocks","Schiltz J., Alamos F., Kozlovsky K., Attardo R., Gatrell B.A., Budzinski J., Tomonto C., McGuffin-Cawley J., Schmid S.R.",23519789,"",48, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,4
2020,"Weak chatter detection in milling based on sparse dictionary","Wang C., Zhang X., Chen X., Yan R., Wang P.",23519789,"",48, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,5
2020,"A simulation algorithm of a digital twin for manual assembly process","Latif H., Starly B.",23519789,"",48, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,11,4,15
2020,"Digital force prediction for milling","Gomez M., No T., Schmitz T.",23519789,"",48, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,7
2020,"Using deep image colorization to predict microstructure-dependent strain fields","Khanolkar P.M., Abraham A., McComb C., Basu S.",23519789,"",48, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2020,"Manufacturing Process Design of a Microchannel Solar Receiver using Electrically-Assisted Embossing","McNeff P.S., Paul B.K.",23519789,"",48, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3
2020,"Comparative evaluation of polyflake as material for repair and reclamation design","Enemuoh E.U., Ahmad N.",23519789,"",48, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,"Factor reduction of quotation with rough set on incomplete data","Meng Q., Xu X., Yang L.",23519789,"",48, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3
2020,"Manufacturing and society - A freshman introduction to engineering course with manufacturing and social science partnership","Shih A., Chen L., Webster N., Hogg A.",23519789,"",48, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3
