," This is a citation overview for a set of 2000 documents.",,,,,,,,,,,,,,,,,,,,,,,,,
2023,"Exploring the axion potential and axion walls in dense quark matter","Zhang B., Castillo D.E.A., Grunfeld A.G., Ruggieri M.",24700010,"Physical Review D",108, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"A Study on Influential Features for Predicting Best Answers in Community Question-Answering Forums","Zoratto V., Godoy D., Aranda G.N.",20782489,"Information (Switzerland)",14, 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"A concept for integrated care pathways for atopic dermatitis—A GA2LEN ADCARE initiative","Zuberbier T., Abdul Latiff A., Aggelidis X., Augustin M., Balan R.-G., Bangert C., Beck L., Bieber T., Bernstein J.A., Bertolin Colilla M., Berardi A., Bedbrook A., Bindslev-Jensen C., Bousquet J., de Bruin-Weller M., Bruscky D., Buyuktiryaki B., Canonica G.W., Castro C., Chanturidze N., Chong-Neto H.J., Chu C.-Y., Chularojanamontri L., Cork M., Criado R.F.J., Barredo L.C., Custovic A., Darsow U., Emurlai A., de Pablo A., Del Giacco S., Girolomoni G., Deleva Jovanova T., Deleuran M., Douladiris N., Duarte B., Dubakiene R., Eller E., Engel-Yeger B., Ensina L.F., Filho N.R., Flohr C., Fomina D., Francuzik W., Galimberti M.L., Gimenez-Arnau A.M., Godse K., Mortz C.G., Gotua M., Hide M., Hoetzenecker W., Hunzelmann N., Irvine A., Jack C., Kanavarou I., Katoh N., Kinaciyan T., Kocaturk E., Kulthanan K., Lapeere H., Lau S., Machado Forti Nastri M., Makris M., Mansour E., Marsland A., Morelo Rocha Felix M., Moschione Castro A.P., Nettis E., Nicolas J.F., Nosbaum A., Odemyr M., Papapostolou N., Parisi C.A.S., Paudel S., Peter J., Pokharel P., Puig L., Quint T., Ramon G.D., Regateiro F., Ricci G., Rosario C., Sackesen C., Schmid-Grendelmeier P., Serra-Baldrich E., Siemens K., Smith C., Staubach P., Stevanovic K., Su-Kucuk O., Sussman G., Tavecchio S., Teovska Mitrevska N., Thaci D., Toubi E., Traidl-Hoffmann C., Treudler R., Vadasz Z., van Hofman I., Ventura M.T., Wang Z., Werfel T., Wollenberg A., Yang A., Weng Yew Y., Zhao Z., Zwiener R., Worm M.",20457022,"Clinical and Translational Allergy",13, 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"The Unidad Popular Process as Represented through Siglo XXI Publishers: Between Local Reception and the Construction of a Global Event","Zarowsky M.",02613050,"Bulletin of Latin American Research",42, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Antimicrobial susceptibility of Rhodococcus equi strains isolated from foals in Chile","Zuniga M.P., Badillo E., Abalos P., Valencia E.D., Marin P., Escudero E., Galecio J.S.",09593993,"World Journal of Microbiology and Biotechnology",39, 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Advocacy at the Eighth World Congress of Pediatric Cardiology and Cardiac Surgery","Zheleva B., Verstappen A., Overman D.M., Ahmad F., Ali S.K.M., Al Halees Z.Y., Atallah J.G., Badhwar I.E., Baker-Smith C., Balestrini M., Basken A., Bassuk J.S., Benson L., Capelli H., Carollo S., Chowdhury D., Cicek M.S., Cohen M.I., Cooper D.S., Deanfield J.E., Dearani J., Del Valle B., Dodds K.M., Du J., Edwin F., Ekure E., Fatema N.N., Gomanju A., Hasan B., Henry L., Hugo-Hamman C., Iyer K.S., Jatene M.B., Jenkins K.J., Karamlou T., Karl T.R., Kirklin J.K., Kreutzer C., Kumar R.K., Lopez K.N., Macedo A.P., Marino B.S., Marwali E.M., Meijboom F.J., Mattos S.S., Najm H., Newlin D., Novick W.M., Qureshi S.S.A., Rahmat B., Raylman R., Saltik I.L., Sable C., Sandoval N., Saxena A., Scanlan E., Sholler G.F., Smith J., St Louis J.D., Tchervenkov C.I., Tiong K.G., Vida V., Vosloo S., Weinstein D.J., Wilkinson J.L., Zuhlke L., Jacobs J.P.",10479511,"Cardiology in the Young",33, 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Redescription of Adenomera diptyx (Boettger, 1885) (Anura, Leptodactylidae) and description of a closely related new species","Zaracho V.H., Lavilla E.O., Carvalho T.R., Motte M., Basso N.G.",21189773,"European Journal of Taxonomy",888, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Recycled Construction and Demolition Waste as Supplementary Cementing Materials in Eco-Friendly Concrete","Zito S.V., Irassar E.F., Rahhal V.F.",23134321,"Recycling",8, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Gallbladder Cancer Risk and Indigenous South American Mapuche Ancestry: Instrumental Variable Analysis Using Ancestry-Informative Markers","Zollner L., Boekstegers F., Barahona Ponce C., Scherer D., Marcelain K., Garate-Calderon V., Waldenberger M., Morales E., Rojas A., Munoz C., Retamales J., De Toro G., Kortmann A.V., Barajas O., Rivera M.T., Cortes A., Loader D., Saavedra J., Gutierrez L., Ortega A., Bertran M.E., Bartolotti L., Gabler F., Campos M., Alvarado J., Moisan F., Spencer L., Nervi B., Carvajal D., Losada H., Almau M., Fernandez P., Olloquequi J., Carter A.R., Miquel Poblete J.F., Bustos B.I., Fuentes Guajardo M., Gonzalez-Jose R., Bortolini M.C., Acuna-Alonzo V., Gallo C., Ruiz Linares A., Rothhammer F., Lorenzo Bermejo J.",20726694,"Cancers",15, 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Long-Term Exposure of the Red Cherry Shrimp Neocaridina davidi to Diclofenac: Impact on Survival, Growth, and Reproductive Potential","Zanitti M., Medesani D.A., Rodriguez E.M., Lopez Greco L.S.",00904341,"Archives of Environmental Contamination and Toxicology",85, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Cooperativity in regulation of membrane protein function: phenomenological analysis of the effects of pH and phospholipids","Zerbetto De Palma G., Recoulat Angelini A.A., Vitali V., Gonzalez Flecha F.L., Alleva K.",18672450,"Biophysical Reviews",15, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"Immigrant Integration in Europe. A Subjective Well-Being Perspective. Angela Paparusso (2021)","Zunino V.",18712584,"Applied Research in Quality of Life",18, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"[THE DEATH OF ANIMALS AT THE BEGINNING OF THE LIBRO DEL CABALLERO ZIFAR, LA MUERTE DE LOS ANIMALES AL INICIO DEL LIBRO DEL CABALLERO ZIFAR]","Zubillaga C.",25308378,"Cuadernos del Cemyr",2023, 31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Super-Resolved FRET Imaging by Confocal Fluorescence-Lifetime Single-Molecule Localization Microscopy","Zaza C., Chiarelli G., Zweifel L.P., Pilo-Pais M., Sisamakis E., Barachati F., Stefani F.D., Acuna G.P.",23669608,"Small Methods",7, 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"[Peritoneal sarcoidosis that simulates peritoneal carcinomatosis: a case report, Sarcoidosis peritoneal que simula carcinomatosis peritoneal: a propósito de un caso]","Zanatta-Scattolini J., Rodriguez-Oses C.I., Yaryura-Montero J.G., Albiero J.A., Flores J.O., Ferrero C.I.",00097411,"Cirugia y Cirujanos (English Edition)",91, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"[THE MATERIAL ASPECTS OF MEDIEVAL DEVOTION IN THE LIBRO DE LOS TRES REYES DE ORIENTE, MATERIALIDAD DE LA DEVOCIÓN MEDIEVAL EN EL LIBRO DE LOS TRES REYES DE ORIENTE]","Zubillaga C.",01850121,"Nueva Revista de Filologia Hispanica",71, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"NMR Magnetic Shielding in Transition Metal Compounds Containing Cadmium, Platinum, and Mercury","Zapata-Escobar A.D., Maldonado A.F., Mendoza-Cortes J.L., Aucar G.A.",23127481,"Magnetochemistry",9, 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Diversity, Genomics and Symbiotic Characteristics of Sinorhizobia That Nodulate Desmanthus spp. in Northwest Argentina","Zuber N.E., Fornasero L.V., Erdozain Bagolin S.A., Lozano M.J., Sanjuan J., Del Papa M.F., Lagares A.",20797737,"Biology",12, 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Changes to virus taxonomy and the ICTV Statutes ratified by the International Committee on Taxonomy of Viruses (2023)","Zerbini F.M., Siddell S.G., Lefkowitz E.J., Mushegian A.R., Adriaenssens E.M., Alfenas-Zerbini P., Dempsey D.M., Dutilh B.E., Garcia M.L., Hendrickson R.C., Junglen S., Krupovic M., Kuhn J.H., Lambert A.J., Lobocka M., Oksanen H.M., Robertson D.L., Rubino L., Sabanadzovic S., Simmonds P., Smith D.B., Suzuki N., Van Doorslaer K., Vandamme A.-M., Varsani A.",03048608,"Archives of Virology",168, 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
2023,"Diagnosis and testing for growth hormone deficiency across the ages: a global view of the accuracy, caveats, and cut-offs for diagnosis","Yuen K.C.J., Johannsson G., Ho K.K.Y., Miller B.S., Bergada I., Rogol A.D.",20493614,"Endocrine Connections",12, 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2023,"[On the phylogenetic position of a particular specimen of Panochthus (Xenarthra, Glyptodontidae): an analysis based exclusively on characteristics of the dorsal carapace, SOBRE LA POSICIÓN FILOGENÉTICA DE UN EJEMPLAR PARTICULAR DE PANOCHTHUS (XENARTHRA, GLYPTODONTIDAE): ANÁLISIS BASADO EXCLUSIVAMENTE EN CARACTERES DE LA CORAZA DORSAL]","Zamorano M.",15197530,"Revista Brasileira de Paleontologia",26, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Engineering olivocochlear inhibition to reduce acoustic trauma","Zhang Y., Hiel H., Vincent P.F.Y., Wood M.B., Elgoyhen A.B., Chien W., Lauer A., Fuchs P.A.",23290501,"Molecular Therapy - Methods and Clinical Development",29, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"Conformal Electrodeposition of Antimicrobial Hydrogels Formed by Self-Assembled Peptide Amphiphiles","Zaldivar G., Feng J., Lizarraga L., Yu Y., de Campos L., de Oliveira K.M.P., Piepenbrink K.H., Conda-Sheridan M., Tagliazucchi M.",21967350,"Advanced Materials Interfaces",10, 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Repurposing Inhaled Ibuprofenate, a Non Steroidal Anti-Inflammatory Drug, as a Potential Adjuvant Treatment for Pneumonia, CARDS and its Aetiological Agent SARS-CoV-2","Zurita-Lizza C.C., Rodriguez-Sanchez I., Doreski P.A.",27680622,"Clinical and Translational Discovery",3, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"The Impact of a Very-Low-Calorie Ketogenic Diet in the Gut Microbiota Composition in Obesity","Zambrano A.K., Cadena-Ullauri S., Guevara-Ramirez P., Frias-Toral E., Ruiz-Pozo V.A., Paz-Cruz E., Tamayo-Trujillo R., Chapela S., Montalvan M., Sarno G., Guerra C.V., Simancas-Racines D.",20726643,"Nutrients",15, 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"Genetic Variability in the E6/E7 Region of Human Papillomavirus 16 in Women from Ecuador","Zhingre A., Bedoya-Pilozo C., Gutierrez-Pallo D., Badano I., Herrera-Yela A., Salazar Z., Alarcon D., Arguello-Bravo N., Espinoza M., Ponce P., Soto Y., Carrazco-Montalvo A.",19994915,"Viruses",15, 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Synuclein Proteins in Cancer Development and Progression","Zanotti L.C., Malizia F., Cesatti Laluce N., Avila A., Mamberto M., Anselmino L.E., Menacho-Marquez M.",2218273X,"Biomolecules",13, 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"An Improved Technique for Genotyping the ABCB1 Gene Variant of Exon 21 †","Zuccoli J.R., Pagnotta P.A., Melito V.A., Lavandera J.V., Parera V.E., Buzaleh A.M.",24099279,"Methods and Protocols",6, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Country-level gender inequality is associated with structural differences in the brains of women and men","Zugman A., Alliende L.M., Medel V., Bethlehem R.A.I., Seidlitz J., Ringlein G., Arango C., Arnatkeviciute A., Asmal L., Bellgrove M., Benegal V., Bernardo M., Billeke P., Bosch-Bayard J., Bressan R., Busatto G.F., Castro M.N., Chaim-Avancini T., Compte A., Costanzi M., Czepielewski L., Dazzan P., de la Fuente-Sandoval C., Forti M.D., Diaz-Caneja C.M., Diaz-Zuluaga A.M., Plessis S.D., Duran F.L.S., Fittipaldi S., Fornito A., Freimer N.B., Gadelha A., Gama C.S., Garani R., Garcia-Rizo C., Campo C.G., Gonzalez-Valderrama A., Guinjoan S., Holla B., Ibanez A., Jackowski A., Leon-Ortiz P., Lochner C., Lopez-Jaramillo C., Luckhoff H., Massuda R., McGuire P., Ivanovic D., Miyata J., Mizrahi R., Murray R., Ozerdem A., Pan P.M., Parellada M., Phahladira L., Ramirez-Mahaluf J.P., Reckziegel R., Marques T.R., Reyes-Madrigal F., Roos A., Rosa P., Salum G., Scheffler F., Schumann G., Serpa M., Stein D.J., Tepper A., Tiego J., Ueno T., Undurraga J., Undurraga E.A., Valdes-Sosa P., Valli I., Villarreal M., Winton-Brown T.T., Yalin N., Zamorano F., Zanetti M.V., Veda C., Winkler A.M., Pine D.S., Evans-Lacko S., Crossley N.A.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",120, 20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2023,"Wheat plant height locus RHT25 encodes a PLATZ transcription factor that interacts with DELLA (RHT1)","Zhang J., Li C., Zhang W., Zhang X., Mo Y., Tranquilli G.E., Vanzetti L.S., Dubcovsky J.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",120, 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2023,"Deformation and failure of the CrCoNi medium-entropy alloy subjected to extreme shock loading","Zhao S., Yin S., Liang X., Cao F., Yu Q., Zhang R., Dai L., Ruestes C.J., Ritchie R.O., Minor A.M.",23752548,"Science Advances",9, 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2023,"[Effect of two flooding levels on growth and physiological parameters in peach rootstock ‘Nemared’, Efecto de dos niveles de inundación sobre el crecimiento y parámetros fisiológicos en portainjertos de durazno ‘Nemared’]","Ziegler V.H., Weibel A.M., Insausti P.",1027152X,"Revista Chapingo, Serie Horticultura",29, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Invasiveness of Pomacea canaliculata: The Differences in Life History Traits of Snail Populations from Invaded and Native Areas","Zhang C., Guo J., Saveanu L., Martin P.R., Shi Z., Zhang J.",20734395,"Agronomy",13, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"First results of the glitching pulsar monitoring programme at the Argentine Institute of Radioastronomy","Zubieta E., Missel R., Sosa Fiscella V., Lousto C.O., Del Palacio S., Lopez Armengol F.G., Garcia F., Combi J.A., Wang L., Combi L., Gancio G., Negrelli C., Gutierrez E.M.",00358711,"Monthly Notices of the Royal Astronomical Society",521, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
