2023,"MCD64A1 Burnt Area Dataset Assessment using Sentinel-2 and Landsat-8 on Google Earth Engine: A Case Study in Rompin, Pahang in Malaysia","Chew Y.J., Ooi S.Y., Pang Y.H.",,"13th IEEE Symposium on Computer Applications and Industrial Electronics, ISCAIE 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"On the Use of Multi-agent Reinforcement Learning in Cyber-physical and Internet of Thing Systems","Yarahmadi H., Shiri M.E., Challenger M., Navidi H., Sharifi A.",,"12th Mediterranean Conference on Embedded Computing, MECO 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"GPS-Spoofing Attack Detection Mechanism for UAV Swarms","Mykytyn P., Brzozowski M., Dyka Z., Langendoerfer P.",,"12th Mediterranean Conference on Embedded Computing, MECO 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Message from the Chairs and Editors","",,"12th Mediterranean Conference on Embedded Computing, MECO 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Towards a RISC-V Open Platform for Next-generation Automotive ECUs","Cuomo L., Scordino C., Ottaviano A., Wistoff N., Balas R., Benini L., Guidieri E., Savino I.M.",,"12th Mediterranean Conference on Embedded Computing, MECO 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Uncertainty Aware Deep Learning Model for Secure and Trustworthy Channel Estimation in 5G Networks","Catak F.O., Cali U., Kuzlu M., Sarp S.",,"12th Mediterranean Conference on Embedded Computing, MECO 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"The Role of SOC in Ensuring the Security of IoT Devices: A Review of Current Challenges and Future Directions","Bennouri H., Abdi A., Hossain I., Pujol A.",,"12th Mediterranean Conference on Embedded Computing, MECO 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Linking nonlinear distortion and a signal's cumulative distribution function: A measurement based approach","De Keersmaeker S., Rolain Y., Peumans D., Barmuta P., Vandersteen G.",,"100th ARFTG Microwave Measurement Conference: Measurement Challenges For Emerging Rf-to-Thz Technologies, ARFTG 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"OTA Measurement Technique for Sub-THz Integrated Lens Antennas","Rasilainen K., Leinonen M.E., Nokandi M.J., Chen J., Nevala K., Rahkonen T., Parssinen A.",,"100th ARFTG Microwave Measurement Conference: Measurement Challenges For Emerging Rf-to-Thz Technologies, ARFTG 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Iterative Calibration Method for Integrated Tunable mmW Vector-Sum Phase Shifter","Jokinen M., Sethi A., Kursu O., Rahkonen T., Leinonen M.E., Parssinen A.",,"100th ARFTG Microwave Measurement Conference: Measurement Challenges For Emerging Rf-to-Thz Technologies, ARFTG 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Towards a more comprehensive open-source model for interdisciplinary smart integrated energy systems","Wiegel B., Steffen T., Babazadeh D., Becker C.",,"11th Workshop on Modelling and Simulation of Cyber-Physical Energy Systems, MSCPES 2023 - Proceedings, Held as part of the Cyber-Physical Systems and Internet-of-Things Week",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"MODELLING THE IMPACT OF AMBIDEXTROUS LEARNING ON TEAM PERFORMANCE USING AGENT-BASED SIMULATION","Yan Y., Onggo S.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"EXTENDING AN “OUT OF THE BOX” SIMULATION AND OPTIMISATION SUPPLY CHAIN TOOL TO INCLUDE BESPOKE FEATURES DESIGNED FOR FAST-MOVING CONSUMER GOODS","Coleman A., Whyte J., Dave A., Riley P., Wilkinson G.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"AGENT BASED SIMULATION OF WORKERS' BEHAVIOURS AROUND HAZARD AREAS IN MANUFACTURING SITES","El Raoui H., Quigley J., Aslan A., Vasantha G., Hanson J., Corney J., Sherlock A.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"HISTORICAL AND PHILOSOPHICAL PERSPECTIVES ON THE ACTIVITY OF MODELLING","Robinson S.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"SIMULATING REVERSE LOGISTICS IN THE FASHION INDUSTRY: A CASE STUDY FOR A UK FOOTWEAR COMPANY","Tran T.M., Kotiadis K., Tako A., Spiegler V.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"USES OF THE SKEW-LOGISTIC FUNCTION FOR MULTI-WAVE FUNCTIONS","Cheng R., Williams B.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"USING SIMULATION FOR BED MODELLING IN CRITICAL CARE","Lentle D., Sachser V.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"PLASTICITY SCENARIOS AND MODELLING: PLASTIC WASTE COLLECTION IN URBAN ENVIRONMENTS","Frei R., Vazquez-Brust D., Gong M., Litaudon V.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"SIMULATION-ESTIMATOR INFERENCE","Pasupathy R.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"SIMHEURISTIC AND LEARNHEURISTIC FOR SOLVING STOCHASTIC AND/OR DYNAMIC PORTFOLIO OPTIMIZATION PROBLEMS","Li Y., Polat O., Juan A.A., Calvet L., Kizys R.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"A DISCRETE EVENT SIMULATION MODEL OF A HOSPITAL FOR PREDICTION OF THE IMPACT OF DELAYED DISCHARGE","Boyle L.M., Currie C.S.M., Fernandez C.L., Nguyen L., Halpenny C.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"DISCRETE-EVENT SIMULATION TO SUPPORT THE MANAGEMENT OF PERISHABLE INVENTORY- A REVIEW","Staff M.E., Mustafee N.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"SIMULATION FOR EVALUATING LONG-TERM MAINTENANCE PLANS FOR COMPLEX SYSTEMS","Rhodes-Leader L.A., Worthington D.J., Griffiths I., Samartzis P.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"HYBRID MODELS WITH REAL-TIME DATA: CHARACTERISING REAL-TIME SIMULATION AND DIGITAL TWINS","Mustafee N., Harper A., Viana J.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"WORKSHOP: THE SUPPLY CHAIN BUSINESS GAME","Exelby D., Cave S.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"A FRAMEWORK TO SHARE HEALTHCARE SIMULATIONS ON THE WEB USING FREE AND OPEN SOURCE TOOLS AND PYTHON","Harper A., Monks T.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"EVALUATING THE ETHICAL AND SOCIETAL IMPACTS OF MODELLING PANDEMIC CRISES: EXPERIENCES FROM A WORKSHOP","Petersen K., Copson S., Anagnostou A.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"PLEDGES MODEL: AN INNOVATIVE TOOL TO MANAGE CARBON BUDGET DISTRIBUTION ACROSS THE EU27 MEMBER STATES","Perissi I., Jones A.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"CONCEPTUAL MODELLING OF EMERGING TECHNOLOGIES - THE USE OF NOVEL ELECTRIC AIRCRAFT FOR EMERGENCY MEDICAL SERVICES","Degel T., van der Zee D.-J., Krivohlavek J., Hatenboer J.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"BUSINESS PROCESS MODELLING AND SIMULATION WITH DPMN, ANYLOGIC AND SIMIO - A TUTORIAL","Wagner G.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"METAMODELLING: POWER, PITFALLS, AND MODEL-FREE INTERPRETATION","Barton R.R.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"LOCATION OF CHIEF POLICE OFFICERS IN THE STATE OF PERNAMBUCO, BRAZIL, USING OCBA","Wei Y., Lamas-Fernandez C., Coutinho W.P., Currie C.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"AN AGENT-BASED MODELLING APPROACH FOR ASSESSING ENTREPRENEURIAL INTENTIONS AND DEVELOPMENT STRATEGIES IN THE RURAL HOSPITALITY INDUSTRY","Gu Y., Onggo B.S., Kunc M., Bayer S.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"PROCESS VALIDITY AND FACILITATION IN SIMULATION MODEL PROOF OF CONCEPT DEVELOPMENT - SIMULATION AS A PRODUCT","Arthur D.J.W.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"UNDERSTANDING DEMAND AND CAPACITY OF HOSPITAL CARE USING SYSTEM DYNAMICS","Herrera H., Sivakumaran H.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"HEALTH SYSTEMS SIMULATION MODELLING TO SUPPORT DECISION-MAKING IN COVID-19 PREVENTION AND CONTROL IN CARE HOMES","Nguyen L.K.N., Howick S., Megiddo I.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"NHS WORKFORCE PROJECTIONS 2022: THE ROLE OF THE NURSE SUPPLY MODEL","Cave S., Shembavnekar N., Woodham E., Lewis S.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"INTRODUCTION TO HYBRID SIMULATION MODELLING","Brailsford S.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"THE NEED FOR A SYSTEM DYNAMICS COMMUNITY OF PRACTICE IN THE HEALTH AND SOCIAL CARE SECTOR","Perez V.P., Croft S., Herrera H., Magombe E.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"A TUTORIAL ON CONCEPTUAL MODELLING FOR DISCRETE-EVENT SIMULATION","Robinson S.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"IMPROVING HOSPITAL DISCHARGE FLOW THROUGH SCALABLE USE OF DISCRETE TIME SIMULATION AND SCENARIO ANALYSIS","Onen-Dumlu Z., Forte P., Harper A., Pitt M., Vasilakis C., Wood R.",,"11th Simulation Workshop, SW 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Analysis of the Effects of Curvature on the Solutions of Shallow Water Equations","Ion S., Marinescu D., Cruceanu S.G.",,"13th International Symposium on Advanced Topics in Electrical Engineering, ATEE 2023",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"101 of surgical instruments: Naming, recognizing, handling and presenting","Liehn M., Schlautmann H.",,"101 of Surgical Instruments: Naming, Recognizing, Handling and Presenting",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Fruit Quality Assessment with Densely Connected Convolutional Neural Network","Morshed M.S., Ahmed S., Ahmed T., Islam M.U., Ashikur Rahman A.B.M.",,"12th International Conference on Electrical and Computer Engineering, ICECE 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022,"Unsupervised Recycled FPGA Detection Using Symmetry Analysis","Tarique T.A., Ahmed F., Jenihhin M., Ali L.",,"12th International Conference on Electrical and Computer Engineering, ICECE 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Automated Level Crossing System: A Computer Vision Based Approach with Raspberry Pi Microcontroller","Murshed R.U., Dhruba S.K., Bhuian M.T.I., Akter M.R.",,"12th International Conference on Electrical and Computer Engineering, ICECE 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"The Stages of Debris Flow Activity during the Quaternary in the Xiaojiang River Basin, China","Liang X., Chen H., Liu B.",,"10th Academic Conference of Geology Resource Management and Sustainable Development 2022",1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Study on the Influence of Snow Melt Water in Tianshan Mountains on the Water Filling of Yili No. 1 Mine and the Prevention of Water Hazards","Feng L., Sun Y., Zhang C., Xu Z.",,"10th Academic Conference of Geology Resource Management and Sustainable Development 2022",1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Message from Patron PEDES 2022","Sebastian T.",,"10th IEEE International Conference on Power Electronics, Drives and Energy Systems, PEDES 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Message from Patron PEDES 2022","Tyagi R.K.",,"10th IEEE International Conference on Power Electronics, Drives and Energy Systems, PEDES 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"PV-Supercapacitor Tri-port Converter for Frequency Response Services","Karpana S., Batzelis E., Maiti S., Chakraborty C.",,"10th IEEE International Conference on Power Electronics, Drives and Energy Systems, PEDES 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Simulating the Power Electronics-Dominated Grid using Schwarz-Schur Complement based Hybrid Domain Decomposition Algorithm","Kalantari F., Shi J., Krishnamoorthy H.S.",,"10th IEEE International Conference on Power Electronics, Drives and Energy Systems, PEDES 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022,"Welcome to PEDES 2022","",,"10th IEEE International Conference on Power Electronics, Drives and Energy Systems, PEDES 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"A LoRaWAN Based Solar PV Condition Monitoring System","Ziyuan Q., Thinesh D.R., Ayyalusamy V., Sivaneasan B., Tan K.T., Tseng K.J.",,"10th IEEE International Conference on Power Electronics, Drives and Energy Systems, PEDES 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"A Segment-Wise Gaussian Process-Based Ground Segmentation With Local Smoothness Estimation","Mehrabi P., Taghirad H.D.",,"10th RSI International Conference on Robotics and Mechatronics, ICRoM 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Driver Drowsiness Detection with Commercial EEG Headsets","Rezaee Q., Delrobaei M., Giveki A., Dayarian N., Haghighi S.J.",,"10th RSI International Conference on Robotics and Mechatronics, ICRoM 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Autonomous Slalom Maneuver Based on Expert Drivers' Behavior Using Convolutional Neural Network","Pashaki S.A., Nahvi A., Ahmadi A., Tavakoli S., Naeemi S., Shamchi S.H.",,"10th RSI International Conference on Robotics and Mechatronics, ICRoM 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Consensus-based Networked Tracking in Presence of Heterogeneous Time-Delays","Doostmohammadian M., Pirani M., Khan U.A.",,"10th RSI International Conference on Robotics and Mechatronics, ICRoM 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"A Wearable RFID-Based Navigation System for the Visually Impaired","Zare F., Sedighi P., Delrobaei M.",,"10th RSI International Conference on Robotics and Mechatronics, ICRoM 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2022,"PREFACE","",,"12th International Conference on System Engineering and Technology, ICSET 2022 - Proceeding",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"What Your Wearable Devices Revealed about You and Possibilities of Non-Cooperative 802.11 Presence Detection during Your Last IPIN Visit","Bravenec T., Torres-Sospedra J., Gould M., Fryza T.",,"12th International Conference on Indoor Positioning and Indoor Navigation, IPIN 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2022,"A comparative numerical simulation study for outdoor comfort indexes in courtyards","Lopez-Cabeza V.P., Diz-Mellado E., Rivera-Gomez C., Galan-Marin C.",,"10th International Workshop on Simulation for Energy, Sustainable Development and Environment, SESDE 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"How sustainability factors influence maintenance of water distribution systems feeding manufacturing industries","Carpitella S., Certa A., Marcon G.",,"10th International Workshop on Simulation for Energy, Sustainable Development and Environment, SESDE 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Agent-based modelling of a small-scale fishery in Corsica","Innocenti E., Idda C., Prunetti D., Gonsolin P.-R.",,"10th International Workshop on Simulation for Energy, Sustainable Development and Environment, SESDE 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Fuel Cell Stochastic Deterioration Modeling for Energy Management in a Multi-stack System","Zuo J., Cadet C., Li Z., Berenguer C., Outbib R.",,"13th International Conference on Reliability, Maintainability, and Safety: Reliability and Safety of Intelligent Systems, ICRMS 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022,"Data Augmentation to Improve the Performance of Ensemble Learning for System Failure Prediction with Limited Observations","Shi G., Liu B., Walls L.",,"13th International Conference on Reliability, Maintainability, and Safety: Reliability and Safety of Intelligent Systems, ICRMS 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"WELCOME to ICRERA 2022","Colak I., Sagiroglu S., Kurokawa F.",,"11th IEEE International Conference on Renewable Energy Research and Applications, ICRERA 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Multi-Physics and Artificial Intelligence Models for Digital Twin Implementations of Residential Electric Loads","Poore S.B., Alden R.E., Gong H., Ionel D.M.",,"11th IEEE International Conference on Renewable Energy Research and Applications, ICRERA 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2022,"A DC-DC Converter with Capability to Support the Voltage Balance of DC Bipolar Microgrids","Pires V.F., Cordeiro A., Foito D., Silva J.F.",,"11th IEEE International Conference on Renewable Energy Research and Applications, ICRERA 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2022,"A mid-IR Plasmonic Graphene Nanorectenna-based Energy Harvester to Power IoT Sensors","Citroni R., D'Arrigo G., Livreri P.",,"11th IEEE International Conference on Renewable Energy Research and Applications, ICRERA 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2022,"Low-power Renewable Possibilities for Geothermal IoT Monitoring Systems","Byrtus R., Hercik R., Dohnal J., Martinkauppi J.B., Rauta T., Koziorek J.",,"11th IEEE International Conference on Renewable Energy Research and Applications, ICRERA 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4
2022,"A Fault Diagnosis Scheme Based on the Normalized Indexes of the Images eccentricity for a Multilevel Converter of a Switched Reluctance Motor Drive","Amaral T.G., Fernao Pires V., Foito D., Cordeiro A., Rocha J.-I., Chaves M., Pires A.J., Martins J.F.",,"11th IEEE International Conference on Renewable Energy Research and Applications, ICRERA 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022,"A Survey on Artificial Intelligence for Pedestrian Navigation with Wearable Inertial Sensors","Fu H., Kone Y., Renaudin V., Zhu N.",,"12th International Conference on Indoor Positioning and Indoor Navigation, IPIN 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2022,"VI-SLAM2tag: Low-Effort Labeled Dataset Collection for Fingerprinting-Based Indoor Localization","Laska M., Schulz T., Grottke J., Blut C., Blankenbach J.",,"12th International Conference on Indoor Positioning and Indoor Navigation, IPIN 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
2022,"IMU-aided detection and mitigation of Human Body Shadowing for UWB positioning","De Cock C., Coene S., Van Herbruggen B., Martens L., Joseph W., Plets D.",,"12th International Conference on Indoor Positioning and Indoor Navigation, IPIN 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022,"Multi-Head Attention Neural Network for Smartphone Invariant Indoor Localization","Tiku S., Gufran D., Pasricha S.",,"12th International Conference on Indoor Positioning and Indoor Navigation, IPIN 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
2022,"Preface","Yuan H., Perez-Navarro A.",,"12th International Conference on Indoor Positioning and Indoor Navigation, IPIN 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Decision Trees for Analyzing Influences on the Accuracy of Indoor Localization Systems","Schyga J., Plambeck S., Hinckeldeyn J., Fey G., Kreutzfeldt J.",,"12th International Conference on Indoor Positioning and Indoor Navigation, IPIN 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022,"Towards Illumination-aware Visible Light Positioning Network Planning","Bastiaens S., Goudos S., Joseph W., Plets D.",,"12th International Conference on Indoor Positioning and Indoor Navigation, IPIN 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"Auto-Positioning in Radio-based Localization Systems: A Bayesian Approach","Jung A., Schwarzbach P., Michler O.",,"12th International Conference on Indoor Positioning and Indoor Navigation, IPIN 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"An Enhanced Visual SLAM Supported by the Integration of Plane Features for the Indoor Environment","Zi B., Wang H., Santos J., Zheng H.",,"12th International Conference on Indoor Positioning and Indoor Navigation, IPIN 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022,"Smartphone-based WiFi FTM Fingerprinting Approach with Map-aided Particle Filter","Sun M., Wang Y., Liu K., De Cock C., Joseph W., Plets D.",,"12th International Conference on Indoor Positioning and Indoor Navigation, IPIN 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2022,"Leveraging Transfer Learning for Robust Multimodal Positioning Systems using Smartphone Multi-sensor Data","Wei X., Radu V.",,"12th International Conference on Indoor Positioning and Indoor Navigation, IPIN 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"SURIMI: Supervised Radio Map Augmentation with Deep Learning and a Generative Adversarial Network for Fingerprint-based Indoor Positioning","Quezada-Gaibor D., Torres-Sospedra J., Nurmi J., Koucheryavy Y., Huerta J.",,"12th International Conference on Indoor Positioning and Indoor Navigation, IPIN 2022",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
