2023,"PluriBAC: A Versatile Baculovirus-Based Modular System to Express Heterologous Genes in Different Biotechnological Platforms","Amoros Morales L.C., Marchesini A., Gomez Bergna S.M., Garcia Fallit M., Tongiani S.E., Vasquez L., Ferrelli M.L., Videla-Richardson G.A., Candolfi M., Romanowski V., Pidre M.L.",19994915,"Viruses",15, 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"EBV Impact in Peripheral Macrophages’ Polarization Cytokines in Pediatric Patients","Moyano A., Ferressini Gerpe N., Amarillo M.E., De Matteo E., Preciado M.V., Caldirola M.S., Chabay P.",19994915,"Viruses",15, 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Molecular Epidemiology of Rotavirus A in Calves: Evolutionary Analysis of a Bovine G8P[11] Strain and Spatio-Temporal Dynamics of G6 Lineages in the Americas","Louge Uriarte E.L., Badaracco A., Spetter M.J., Mino S., Armendano J.I., Zeller M., Heylen E., Spath E., Leunda M.R., Moreira A.R., Matthijnssens J., Parreno V., Odeon A.C.",19994915,"Viruses",15, 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Letter to the Editor Regarding “Percutaneous Cement Discoplasty in Degenerative Spinal Disease: Systematic Review of Indications, Clinical Outcomes, and Complications”","Pereira Duarte M., Camino-Willhuber G., Bendersky M.",18788750,"World Neurosurgery",178, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"The impact of robots in Latin America: Evidence from local labor markets","Brambilla I., Cesar A., Falcone G., Gasparini L.",0305750X,"World Development",170, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"Beyond the last frontier: Echidnophaga gallinacea (Siphonaptera: Pulicidae) infestation in a Burrowing Owl, a novel southward host in Mexico","Frixione M.G., Acosta-Gutierrez R., Guzman-Cornejo C.",11755326,"Zootaxa",5351, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Phylogenetics in Scyphostelma (Apocynaceae: Orthosiinae) and description of new species","Pineda Y.M., Keller H.A., Balderrama-Torrico J.A., Meve U., Nurk N.M., Liede-Schumann S.",05119618,"Willdenowia",53, 1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Colorimetric RT-LAMP Detection of Multiple SARS-CoV-2 Variants and Lineages of Concern Direct from Nasopharyngeal Swab Samples without RNA Isolation","Werbajh S., Larocca L., Carrillo C., Stolowicz F., Ogas L., Pallotto S., Cassara S., Mammana L., Zapiola I., Bouzas M.B., Vojnov A.A.",19994915,"Viruses",15, 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Effects of Mixed Baculovirus Infections in Biological Control: A Comprehensive Historical and Technical Analysis","Ferrelli M.L., Salvador R.",19994915,"Viruses",15, 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Targeting FOXP3 Tumor-Intrinsic Effects Using Adenoviral Vectors in Experimental Breast Cancer","Nicola Candia A.J., Garcia Fallit M., Pena Agudelo J.A., Perez Kuper M., Gonzalez N., Moreno Ayala M.A., De Simone E., Giampaoli C., Casares N., Seilicovich A., Lasarte J.J., Zanetti F.A., Candolfi M.",19994915,"Viruses",15, 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Nuclease Activity of the Junín Virus Nucleoprotein C-Terminal Domain","Sierra A.A., Loureiro M.E., Esperante S., Borkosky S.S., Gallo G.L., de Prat Gay G., Lopez N.",19994915,"Viruses",15, 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Human Rotavirus Replicates in Salivary Glands and Primes Immune Responses in Facial and Intestinal Lymphoid Tissues of Gnotobiotic Pigs","Nyblade C., Zhou P., Frazier M., Frazier A., Hensley C., Fantasia-Davis A., Shahrudin S., Hoffer M., Agbemabiese C.A., LaRue L., Barro M., Patton J.T., Parreno V., Yuan L.",19994915,"Viruses",15, 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Retraction notice to “Head-Mounted Augmented Reality in the Planning of Cerebrovascular Neurosurgical Procedures: A Single-Center Initial Experience” [World Neurosurgery 171 (2023) e693-e706, (S1878875022017922), (10.1016/j.wneu.2022.12.086)]","Costa M., Pierre C., Vivanco-Suarez J., Baldoncini M., Tymchak Z., Patel A., Monteith S.J.",18788750,"World Neurosurgery",177, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Towards Sustainable Consumption and Production in a Thirsty World: Progress and Challenges in Water Footprint Assessment","Aldaya M.M., Sesma-Martin D., Rodriguez C.I.",20734441,"Water (Switzerland)",15, 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Photo-Stacking Technique for Neuroanatomical High-Definition Photography and 3-Dimensional Modeling","Ballesteros-Herrera D., Yagmurlu K., Guinto-Nishimura G.Y., Ramirez-Stubbe V., Nathal-Vera E., Baldoncini M., Forlizzi V., Gomez-Amador J.L., Moreno-Jimenez S., Vazquez-Gregorio R., Giotta Lucifero A., Campero A., Luzzi S.",18788750,"World Neurosurgery",177, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Antimicrobial susceptibility of Rhodococcus equi strains isolated from foals in Chile","Zuniga M.P., Badillo E., Abalos P., Valencia E.D., Marin P., Escudero E., Galecio J.S.",09593993,"World Journal of Microbiology and Biotechnology",39, 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Quadruplex Real-Time TaqMan® RT-qPCR Assay for Differentiation of Equine Group A and B Rotaviruses and Identification of Group A G3 and G14 Genotypes","Carossino M., Balasuriya U.B.R., Thieulent C.J., Barrandeguy M.E., Vissani M.A., Parreno V.",19994915,"Viruses",15, 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2023,"Effects of the Natural Flavonoid Quercetin on Arenavirus Junín Infection","Alvarez De Lauro A.E., Pelaez M.A., Marquez A.B., Wagner M.S., Scolaro L.A., Garcia C.C., Damonte E.B., Sepulveda C.S.",19994915,"Viruses",15, 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"[How should Argentina raise Advance Care Planning awareness? Introduction of the Shared Care Planning Group, Wie kann das Bewusstsein für Advance Care Planning in Argentinien geschärft werden? Einführung der Shared-Care-Planungsgruppe]","Tripodoro V.A., Di Gennaro S., Fila J., Veloso V.I., Quiroga C., Varela C., Francia L.",18659217,"Zeitschrift fur Evidenz, Fortbildung und Qualitat im Gesundheitswesen",180, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"Water governance challenges at a local level: implementation of the OECD Water Governance Indicator Framework in the General Pueyrredon Municipality, Buenos Aires Province, Argentina","Velasco M.J.M., Calderon G., Lima M.L., Matencon C.L., Massone H.E.",13667017,"Water Policy",25, 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Modeling Rainwater Harvesting and Storage Dynamics of Rural Impoundments in Dry Chaco Rangelands","Niborski M.J., Martin O.A., Murray F., Jobbagy E.G., Nosetto M.D., Paez R.A., Magliano P.N.",20734441,"Water (Switzerland)",15, 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Identification of Antibiotic Resistance Gene Hosts in Treatment Wetlands Using a Single-Cell Based High-Throughput Approach","Knecht C.A., Hinkel M., Mausezahl I., Kaster A.-K., Nivala J., Muller J.A.",20734441,"Water (Switzerland)",15, 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"Update meta-analysis on the efficacy and safety issues of fexofenadine","Gomez R.M., Moreno P., Compalati E., Canonica G.W., Ansotegui Zubeldia I.J.",19394551,"World Allergy Organization Journal",16, 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Effect of culture parameters on the heat tolerance and inorganic polyphosphate accumulation by Lacticaseibacillus rhamnosus CRL1505, a multifunctional bacterium","Correa Deza M.A., Salva S., Grillo-Puertas M., Font G.M., Gerez C.L.",09593993,"World Journal of Microbiology and Biotechnology",39, 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Time to surgery for adolescent idiopathic scoliosis: How long does it take? A multicenter study","Guiroy A., Carazzo C., Camino-Willhuber G., Morales Ciancio A., Remondino R., Nin F., Alvarado-Gomez F., Reviriego J., Zarate Kalfopulos B., Daher M., Fernandes Andujar A.L., Asghar J., Ferri-de-Barros F., Meves R.",25901397,"World Neurosurgery: X",19, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Cerebellar pilocytic astrocytoma. Retrospective cohort study assessing postoperative functional outcome, cerebellar mutism and hydrocephalus","Ruella M., Giovannini S., Pirozzi Chiusa C., Perez Zabala J., Arganaraz R., Mantese B.",25901397,"World Neurosurgery: X",19, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"Surgical approach to the treatment of pituicytoma. Report of five cases and a literature review","Yasuda M.E., Recalde R., Jalon P., Prost D., Golby A., Zaninovich R.",25901397,"World Neurosurgery: X",19, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Optimization of waste collection through the sequencing of micro-routes and transfer station convenience analysis: An Argentinian case study","Molfese Greco S.A., Rossit D.G., Frutos M., Cavallin A.",0734242X,"Waste Management and Research",41, 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Motherhood and flexible jobs: Evidence from Latin American countries","Berniell I., Berniell L., de la Mata D., Edo M., Marchionni M.",0305750X,"World Development",167, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2023,"Assembly of the Tripartite and RNA Condensates of the Respiratory Syncytial Virus Factory Proteins In Vitro: Role of the Transcription Antiterminator M2-1","Visentin A., Demitroff N., Salgueiro M., Borkosky S.S., Uversky V.N., Camporeale G., de Prat-Gay G.",19994915,"Viruses",15, 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Genetic Variability in the E6/E7 Region of Human Papillomavirus 16 in Women from Ecuador","Zhingre A., Bedoya-Pilozo C., Gutierrez-Pallo D., Badano I., Herrera-Yela A., Salazar Z., Alarcon D., Arguello-Bravo N., Espinoza M., Ponce P., Soto Y., Carrazco-Montalvo A.",19994915,"Viruses",15, 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"The Lambda Variant in Argentina: Analyzing the Evolution and Spread of SARS-CoV-2 Lineage C.37","Nabaes Jodar M.S., Torres C., Mojsiejczuk L., Acuna D., Valinotto L.E., Goya S., Natale M., Lusso S., Alexay S., Amadio A., Irazoqui M., Fernandez F., Acevedo M.E., Alvarez Lopez C., Angelletti A., Aulicino P., Bolatti E., Bruses B., Cacciahue M., Cavatorta A., Cerri A., Cordero A., Debat H., Dus Santos M.J., Eberhardt M.F., Ercole R., Espul C., Farber M., Fay F., Fernandez A., Ferrini F., Formichelli L., Ceballos S., Gallego F., Giri A., Gismondi M., Acevedo R.M., Gramundi I., Ibanez M.E., Konig G., Leiva V., Lorenzini Campos M., Lucero H., Marquez N., Mazzeo M., Mistchenko A.S., Montoto L., Munoz M., Nadalich V., Nardi C., Ortiz B., Pianciola L., Pintos C., Puebla A., Rastellini C., Rojas A.E., Sfalcin J., Suarez A., Theaux C., Thomas G., Tittarelli E., Toro R., Villanova V., Wenk G., Ziehm C., Zimmermann M.C., Zunino S., PAIS P., Viegas M.",19994915,"Viruses",15, 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Infectious Bursal Disease Virus Assembly Causes Endoplasmic Reticulum Stress and Lipid Droplet Accumulation","Frontini-Lopez Y.R., Rivera L., Pocognoni C.A., Roldan J.S., Colombo M.I., Uhart M., Delgui L.R.",19994915,"Viruses",15, 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Analyses of Early ZIKV Genomes Are Consistent with Viral Spread from Northeast Brazil to the Americas","de Moraes L., Portilho M.M., Vrancken B., Van den Broeck F., Santos L.A., Cucco M., Tauro L.B., Kikuti M., Silva M.M.O., Campos G.S., Reis M.G., Barral A., Barral-Netto M., Boaventura V.S., Vandamme A.-M., Theys K., Lemey P., Ribeiro G.S., Khouri R.",19994915,"Viruses",15, 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Regionalisation of heat waves in southern South America","Suli S., Barriopedro D., Garcia-Herrera R., Rusticucci M.",22120947,"Weather and Climate Extremes",40, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2023,"Correction to: Exploration of the morphology and functional implications of the forelimb in bats (Mammalia, Chiroptera) from the Neotropical region (Zoomorphology, (2023), 142, 2, (233-249), 10.1007/s00435-022-00588-y)","Gaudioso P.J., Perez M.J., Gamboa Alurralde S., Toledo N., Diaz M.M.",0720213X,"Zoomorphology",142, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"The importance of the diestrus stages (early, middle, late) to the diagnosis of the endometrial disease in the bitch","Praderio R.G., Rearte R., Stornelli M.C., Mitacek M.C.G., de la Sota R.L., Stornelli M.A.",0720213X,"Zoomorphology",142, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Evaluation of the regional distribution of the pediatric surgery workforce and surgical load in Brazil","Bustorff-Silva J., Miranda M.L., Rosendo A., Gerk A., Oliveira-Filho A.G.",25165410,"World Journal of Pediatric Surgery",6, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"[Analysis of drying kinetic of brewer´s spent grains: effect of the temperature on the physical properties and the content of bioactive compounds, Análisis de la cinética de secado del bagazo residual de malta: efecto de la temperatura sobre las propiedades físicas y el contenido de compuestos bioactivos]","Gomez-Delgado E., Medina-Jaramillo C., Lopez-Cordoba A.",01214004,"Vitae",30, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Aeroallergen immunotherapy associated with reduced risk of severe COVID-19 in 1095 allergic patients","Larenas-Linnemann D., Morfin-Maciel B.M., Bedolla-Barajas M., Lopez-Bago A., Navarrete Rodriguez E.M., Mogica-Martinez M.D., Gereda J.E., Sarrazola Sanjuan M., Cano Pedroza R.Y., Cavallo M.C., Romero Tapia S.D.J., Jossen R.A., Fuentes Perez J.M., Del Rio Navarro B.E., Rodriguez Zagal E., Piraino Sosa P.A., Huerta Villalobos Y.R., Chavez-Vereau P., Garcia Imperial D.A., Olivares Gomez M., Valle Rodriguez F., Zuniga Reyes C.O., Rodriguez-Gonzalez M., Gallego Corella C.I., Ivancevich J.C., Garcia Cruz M.D.L.L.H., Repka-Ramirez M.S., Flores Morales M.E., Fernandez De Cordova Aguirre J.C., Luna-Pech J.A., Rivero Yeverino D., Martinez Guzman E., Perez Ortiz C.E., Villa Medica L.",19394551,"World Allergy Organization Journal",16, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"How Does Long-COVID Impact Prognosis and the Long-Term Sequelae?","Baroni C., Potito J., Perticone M.E., Orausclio P., Luna C.M.",19994915,"Viruses",15, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2023,"Tenofovir-Containing Antiretroviral Therapy and Clinical Outcomes of SARS-CoV-2 Infection in People Living with HIV","Rombini M.F., Cecchini D., Diana Menendez S., Calanni L., Cuini R., Obieta E., Greco M.M., Morales F., Morganti L., Migazzi C., El Kozah Y., Parenti P., Cassetti I.",19994915,"Viruses",15, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Protein-Gene Orthology in Baculoviridae: An Exhaustive Analysis to Redefine the Ancestrally Common Coding Sequences","Cerrudo C.S., Motta L.F., Cuccovia Warlet F.U., Lassalle F.M., Simonin J.A., Belaich M.N.",19994915,"Viruses",15, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Assembly and comparative genome analysis of a Patagonian Aureobasidium pullulans isolate reveals unexpected intraspecific variation","Parra M., Libkind D., Hittinger C.T., Alvarez L., Bellora N.",0749503X,"Yeast",40, 5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Patients’ opinions 10 years after receiving encapsulated porcine islet xenotransplantation without immunosuppression","Matsumoto S., Abalovich A., Wynyard S., Carulla M.E., Abalovich D.",0908665X,"Xenotransplantation",30, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"People need freshwater biodiversity","Lynch A.J., Cooke S.J., Arthington A.H., Baigun C., Bossenbroek L., Dickens C., Harrison I., Kimirei I., Langhans S.D., Murchie K.J., Olden J.D., Ormerod S.J., Owuor M., Raghavan R., Samways M.J., Schinegger R., Sharma S., Tachamo-Shah R.-D., Tickner D., Tweddle D., Young N., Jahnig S.C.",20491948,"Wiley Interdisciplinary Reviews: Water",10, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
2023,"Author´s Reply: Conversion from Laparoscopic to Open Appendectomy: Trends, Risk Factors and Outcomes. A 15-year single-center analysis of 2193 patients","Monrabal Lezama M., Schlottmann F.",03642313,"World Journal of Surgery",47, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Blood feeding patterns of the Culex pipiens complex in equestrian land uses and their implications for arboviral encephalitis risk in temperate Argentina","Cardo M.V., Carbajo A.E., Mozzoni C., Kliger M., Vezzani D.",18631959,"Zoonoses and Public Health",70, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"Polyhydroxyalkanoates (PHAs) Production from Residual Glycerol by Wild Type Cupriavidus necator","Nygaard D., Yashchuk O., Hermida E.B.",18772641,"Waste and Biomass Valorization",14, 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2023,"A new lizard species of the Liolaemus kingii group (Squamata: Liolaemidae) from northwestern Chubut province (Argentina)","Sanchez K.I., Morando M., Avila L.J.",11755326,"Zootaxa",5264, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"Expanding the Repertoire of the Plant-Infecting Ophioviruses through Metatranscriptomics Data","Debat H., Garcia M.L., Bejerman N.",19994915,"Viruses",15, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"The Flavonoid Cyanidin Shows Immunomodulatory and Broad-Spectrum Antiviral Properties, Including SARS-CoV-2","Vicente J., Benedetti M., Martelliti P., Vazquez L., Gentilini M.V., Penaranda Figueredo F.A., Nabaes Jodar M.S., Viegas M., Barquero A.A., Bueno C.A.",19994915,"Viruses",15, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Comparison between Different Technologies (Zerovalent Iron, Coagulation-Flocculation, Adsorption) for Arsenic Treatment at High Concentrations","Lan L.E., Reina F.D., De Seta G.E., Meichtry J.M., Litter M.I.",20734441,"Water (Switzerland)",15, 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
2023,"Shoreline Temporal Variability Inferred from Satellite Images at Mar del Plata, Argentina","Billet C., Bacino G., Alonso G., Dragani W.",20734441,"Water (Switzerland)",15, 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2023,"Upstream-Downstream Influence of Water Harvesting Techniques (Jessour) on Soil Water Retention in Southeast Tunisia","Calianno M., Ben Fraj T., Fallot J.-M., Abbassi M., Ghram Messedi A., Ben Ouezdou H., Reynard E.",20734441,"Water (Switzerland)",15, 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"The use of systemic corticosteroids in asthma management in Latin American countries","Maspero J.F., Cruz A.A., Beltran C.F.P., Ali Munive A., Montero-Arias F., Hernandez Pliego R., Farouk H.",19394551,"World Allergy Organization Journal",16, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Initial discovery of microplastic pollution in Mnemiopsis leidyi (Ctenophora: Lobata)","Otegui M.B.P., Zamprogno G.C., Ocaris E.R.Y., da Costa M.B.",27727351,"Water Biology and Security",2, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2023,"Challenges and recommendations when selecting empirical antibiotics in patients with cirrhosis","Dirchwolf M., Perdiguero G.G., Grech I.M., Marciano S.",19485182,"World Journal of Hepatology",15, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Kidney stone matrix proteins: Role in stone formation","Negri A.L., Spivacow F.R.",22206124,"World Journal of Nephrology",12, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Actuator line model using simplified force calculation methods","Navarro Diaz G.P., Otero A.D., Asmuth H., Sorensen J.N., Ivanell S.",23667443,"Wind Energy Science",8, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"Epidemiology of adult patients with atopic dermatitis in AWARE 1: A second international survey","Maspero J., De Paula Motta Rubini N., Zhang J., Sanclemente G., Amador J.R., El Sayed M.H., Chan Wai Ming A., Dodiuk-Gad R.P., Hamadah I., Thevarajah S., Rincon-Perez C., Fedenko E., Yew Y.W., Tang M.B.Y., Chu C.-Y., Kulthanan K., Kucuk O.S., Al-Hammadi A., Brignoli L., Tsankova A., El-Samad S., Neves J.E., Eckert L.",19394551,"World Allergy Organization Journal",16, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,"WAO consensus on DEfinition of Food Allergy SEverity (DEFASE)","Arasi S., Nurmatov U., Dunn-Galvin A., Roberts G., Turner P.J., Shinder S.B., Gupta R., Eigenmann P., Nowak-Wegrzyn A., Ansotegui I.J., Rivas M.F., Petrou S., Tanno L.K., Vazquez-Ortiz M., Vickery B., Wong G., Alvaro-Lozano M., Asaria M., Begin P., Bozzola M., Boyle R., Brough H., Cardona V., Chinthrajah R.S., Cianferoni A., Deschildre A., Fleischer D., Gazzani F., Gerdts J., Giannetti M., Greenhawt M., Guzman M.A., Hossny E., Kauppi P., Jones C., Lucidi F., Monge Ortega O.P., Munblit D., Muraro A., Pajno G., Podesta M., Rodriguez del Rio P., Said M., Santos A., Shaker M., Szajewska H., Venter C., Warren C., Winders T., Ebisawa M., Fiocchi A.",19394551,"World Allergy Organization Journal",16, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2023,"The missing piece of the puzzle: larval morphology of Xenohyla truncata (Anura: Hylidae: Dendropsophini) and its implication to the evolution of Dendropsophini tadpoles","dos Santos Dias P.H., Marcondes B.C., Pezzuti T.L., Vera Candioti F., Araujo-Vieira K., Mela Prodocimo M., da Silva H.R., Orrico V.G.D., Haas A.",0720213X,"Zoomorphology",142, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2023,"Latin American anaphylaxis registry","Jares E.J., Cardona V., Gomez R.M., Bernstein J.A., Rosario Filho N.A., Cherrez-Ojeda I., Ensina L.F., De Falco A., Diaz M.C., Chavez Vereau P.A., Rocha Felix M.M., Lavrut J., Moreno Laflor O.I., Latour Staffeld P., Piraino P., Alacaraz Duarte P., Ivancevich J.C., Dabove F., Giavina-Bianchi P., Tinoco Moran I.O., Nunes Oliviera F.A., Monsell S., Souza M.V., Cepeda A.M., Slullitel P.D., Morfin-Maciel B.M.",19394551,"World Allergy Organization Journal",16, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2023,"Experiences of preservice mathematics teachers during their education in times of pandemic","Villarreal M.E., Villa-Ochoa J.A., Galleguillos J.",18639690,"ZDM - Mathematics Education",55, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Voluntary audits: Experimental evidence on a new approach to monitoring front-line bureaucrats","De La O A.L., Gonzalez L.I., Weitz-Shapiro R.",0305750X,"World Development",162, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,"Efficient algorithm for pulmonary nonlinear model online estimation of patients under assisted ventilation","Riva D.A., Evangelista C.A., Puleston P.F.",11099518,"WSEAS Transactions on Biology and Biomedicine",20, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
